r3:h2o:1:0:178.844
r3:h2o:16:0-15:16.505
r3:h2o:16:0-15:16.347
r3:h2o:16:0-15:15.816
r3:h2o:16:0-15:16.172
r3:h2o:16:0-15:15.26
r3:h2o:16:0-15:16.674
r3:h2o:16:0-15:16.338
r3:h2o:16:0-15:15.145
r3:h2o:16:0-7,16-23:24.137
r3:h2o:16:0-7,16-23:25.183
r3:h2o:16:0-7,16-23:24.598
r3:h2o:16:0-7,16-23:24.217
r3:h2o:16:0-7,16-23:24.724
r3:h2o:16:0-7,16-23:24.177
r3:h2o:16:0-7,16-23:24.844
r3:h2o:16:0-7,16-23:24.203
r3:h2o:16:0-7,16-23:23.699
r3:h2o:16:0-7,16-23:24.76
r3:h2o:32:0-31:15.564
r3:h2o:32:0-31:16.709
r3:h2o:32:0-31:15.639
r3:h2o:32:0-31:16.945
r3:h2o:32:0-31:15.601
r3:h2o:32:0-31:15.989
r3:h2o:32:0-31:15.338
r3:h2o:32:0-31:15.908
r3:h2o:32:0-31:17.121
r3:h2o:32:0-31:16.759
r3:xgb:1:0:33.124
r3:xgb:1:0:35.598
r3:xgb:1:0:33.211
r3:xgb:1:0:35.618
r3:xgb:1:0:33.243
r3:xgb:1:0:35.154
r3:xgb:1:0:35.044
r3:xgb:1:0:36.244
r3:xgb:1:0:35.103
r3:xgb:1:0:36.156
r3:xgb:2:0-1:19.963
r3:xgb:2:0-1:19.939
r3:xgb:2:0-1:19.835
r3:xgb:2:0-1:19.572
r3:xgb:2:0-1:20.071
r3:xgb:2:0-1:19.721
r3:xgb:2:0-1:19.729
r3:xgb:2:0-1:19.759
r3:xgb:2:0-1:19.805
r3:xgb:2:0-1:19.468
r3:xgb:4:0-3:13.084
r3:xgb:4:0-3:13.362
r3:xgb:4:0-3:13.326
r3:xgb:4:0-3:13.39
r3:xgb:4:0-3:13.33
r3:xgb:4:0-3:13.221
r3:xgb:4:0-3:13.41
r3:xgb:4:0-3:13.346
r3:xgb:4:0-3:13.299
r3:xgb:4:0-3:13.276
r3:xgb:8:0-7:9.928
r3:xgb:8:0-7:9.935
r3:xgb:8:0-7:9.128
r3:xgb:8:0-7:9.27
r3:xgb:8:0-7:9.471
r3:xgb:8:0-7:9.296
r3:xgb:8:0-7:9.146
r3:xgb:8:0-7:9.817
r3:xgb:8:0-7:9.216
r3:xgb:8:0-7:10.184
r3:xgb:8:0-3,8-11:13.875
r3:xgb:8:0-3,8-11:13.353
r3:xgb:8:0-3,8-11:13.826
r3:xgb:8:0-3,8-11:13.922
r3:xgb:8:0-3,8-11:14.924
r3:xgb:8:0-3,8-11:13.644
r3:xgb:8:0-3,8-11:13.966
r3:xgb:8:0-3,8-11:10.477
r3:xgb:8:0-3,8-11:13.31
r3:xgb:8:0-3,8-11:13.435
r3:xgb:8:0-3,16-19:14.606
r3:xgb:8:0-3,16-19:14.346
r3:xgb:8:0-3,16-19:14.261
r3:xgb:8:0-3,16-19:14.453
r3:xgb:8:0-3,16-19:14.265
r3:xgb:8:0-3,16-19:14.493
r3:xgb:8:0-3,16-19:14.291
r3:xgb:8:0-3,16-19:14.431
r3:xgb:8:0-3,16-19:14.25
r3:xgb:8:0-3,16-19:14.569
r3:xgb:16:0-15:14.254
r3:xgb:16:0-15:9.982
r3:xgb:16:0-15:12.076
r3:xgb:16:0-15:13.461
r3:xgb:16:0-15:13.521
r3:xgb:16:0-15:13.694
r3:xgb:16:0-15:13.646
r3:xgb:16:0-15:9.997
r3:xgb:16:0-15:10.397
r3:xgb:16:0-15:14.154
r3:xgb:16:0-7,16-23:11.227
r3:xgb:16:0-7,16-23:10.713
r3:xgb:16:0-7,16-23:10.739
r3:xgb:16:0-7,16-23:11.208
r3:xgb:16:0-7,16-23:11.051
r3:xgb:16:0-7,16-23:10.706
r3:xgb:16:0-7,16-23:10.539
r3:xgb:16:0-7,16-23:10.77
r3:xgb:16:0-7,16-23:10.669
r3:xgb:16:0-7,16-23:10.784
r3:xgb:32:0-31:14.354
r3:xgb:32:0-31:17.959
r3:xgb:32:0-31:21.28
r3:xgb:32:0-31:20.448
r3:xgb:32:0-31:22.081
r3:xgb:32:0-31:20.115
r3:xgb:32:0-31:24.118
r3:xgb:32:0-31:13.858
r3:xgb:32:0-31:21.575
r3:xgb:32:0-31:14.293
x1:h2o:1:0:267.443
x1:h2o:1:0:258.877
x1:h2o:1:0:275.774
x1:h2o:1:0:281.914
x1:h2o:1:0:286.138
x1:h2o:1:0:266.068
x1:h2o:1:0:265.438
x1:h2o:1:0:255.89
x1:h2o:1:0:247.28
x1:h2o:1:0:283.492
x1:h2o:2:0-1:130.518
x1:h2o:2:0-1:128.671
x1:h2o:2:0-1:139.478
x1:h2o:2:0-1:125.852
x1:h2o:2:0-1:127.627
x1:h2o:2:0-1:129.055
x1:h2o:2:0-1:143.033
x1:h2o:2:0-1:127.939
x1:h2o:2:0-1:127.484
x1:h2o:2:0-1:129.015
x1:h2o:4:0-3:70.546
x1:h2o:4:0-3:75.786
x1:h2o:4:0-3:72.15
x1:h2o:4:0-3:78.558
x1:h2o:4:0-3:74.905
x1:h2o:4:0-3:79.387
x1:h2o:4:0-3:75.585
x1:h2o:4:0-3:73.287
x1:h2o:4:0-3:72.708
x1:h2o:4:0-3:75.236
x1:h2o:8:0-7:40.086
x1:h2o:8:0-7:43.6
x1:h2o:8:0-7:39.661
x1:h2o:8:0-7:42.338
x1:h2o:8:0-7:41.819
x1:h2o:8:0-7:45.324
x1:h2o:8:0-7:43.255
x1:h2o:8:0-7:43.561
x1:h2o:8:0-7:41.946
x1:h2o:8:0-7:42.06
x1:h2o:8:0-3,16-19:44.395
x1:h2o:8:0-3,16-19:50.276
x1:h2o:8:0-3,16-19:43.617
x1:h2o:8:0-3,16-19:47.809
x1:h2o:8:0-3,16-19:47.584
x1:h2o:8:0-3,16-19:44.78
x1:h2o:8:0-3,16-19:45.16
x1:h2o:8:0-3,16-19:50.224
x1:h2o:8:0-3,16-19:43.983
x1:h2o:8:0-3,16-19:45.344
x1:h2o:8:0-3,64-67:49.039
x1:h2o:8:0-3,64-67:52.076
x1:h2o:8:0-3,64-67:49.573
x1:h2o:8:0-3,64-67:47.847
x1:h2o:8:0-3,64-67:47.547
x1:h2o:8:0-3,64-67:51.697
x1:h2o:8:0-3,64-67:50.538
x1:h2o:8:0-3,64-67:49.093
x1:h2o:8:0-3,64-67:50.272
x1:h2o:8:0-3,64-67:49.316
x1:h2o:16:0-15:23.637
x1:h2o:16:0-15:23.003
x1:h2o:16:0-15:24.332
x1:h2o:16:0-15:22.773
x1:h2o:16:0-15:20.18
x1:h2o:16:0-15:21.282
x1:h2o:16:0-15:23.196
x1:h2o:16:0-15:25.208
x1:h2o:16:0-15:22.471
x1:h2o:16:0-15:23.139
x1:h2o:16:0-7,16-23:31.081
x1:h2o:16:0-7,16-23:29.813
x1:h2o:16:0-7,16-23:29.744
x1:h2o:16:0-7,16-23:27.226
x1:h2o:16:0-7,16-23:30.666
x1:h2o:16:0-7,16-23:31.524
x1:h2o:16:0-7,16-23:29.919
x1:h2o:16:0-7,16-23:25.911
x1:h2o:16:0-7,16-23:29.408
x1:h2o:16:0-7,16-23:30.33
x1:h2o:16:0-7,32-39:31.487
x1:h2o:16:0-7,32-39:32.001
x1:h2o:16:0-7,32-39:31.632
x1:h2o:16:0-7,32-39:27.705
x1:h2o:16:0-7,32-39:28.71
x1:h2o:16:0-7,32-39:29.464
x1:h2o:16:0-7,32-39:31.35
x1:h2o:16:0-7,32-39:29.479
x1:h2o:16:0-7,32-39:31.21
x1:h2o:16:0-7,32-39:30.489
x1:h2o:16:0-7,64-71:31.627
x1:h2o:16:0-7,64-71:26.8
x1:h2o:16:0-7,64-71:27.785
x1:h2o:16:0-7,64-71:27.299
x1:h2o:16:0-7,64-71:28.044
x1:h2o:16:0-7,64-71:31.645
x1:h2o:16:0-7,64-71:30.895
x1:h2o:16:0-7,64-71:29.646
x1:h2o:16:0-7,64-71:31.232
x1:h2o:16:0-7,64-71:28.886
x1:h2o:32:0-31:19.542
x1:h2o:32:0-31:21.031
x1:h2o:32:0-31:16.397
x1:h2o:32:0-31:17.287
x1:h2o:32:0-31:21.009
x1:h2o:32:0-31:19.476
x1:h2o:32:0-31:17.562
x1:h2o:32:0-31:19.21
x1:h2o:32:0-31:18.376
x1:h2o:32:0-31:18.394
x1:h2o:32:0-15,32-47:18.706
x1:h2o:32:0-15,32-47:19.799
x1:h2o:32:0-15,32-47:21.465
x1:h2o:32:0-15,32-47:19.428
x1:h2o:32:0-15,32-47:16.908
x1:h2o:32:0-15,32-47:20.342
x1:h2o:32:0-15,32-47:22.177
x1:h2o:32:0-15,32-47:18.797
x1:h2o:32:0-15,32-47:20.186
x1:h2o:32:0-15,32-47:20.804
x1:h2o:32:0-15,48-63:21.765
x1:h2o:32:0-15,48-63:20.579
x1:h2o:32:0-15,48-63:16.398
x1:h2o:32:0-15,48-63:17.607
x1:h2o:32:0-15,48-63:19.488
x1:h2o:32:0-15,48-63:19.87
x1:h2o:32:0-15,48-63:18.515
x1:h2o:32:0-15,48-63:18.167
x1:h2o:32:0-15,48-63:19.08
x1:h2o:32:0-15,48-63:18.606
x1:h2o:32:0-15,64-79:17.491
x1:h2o:32:0-15,64-79:20.569
x1:h2o:32:0-15,64-79:17.493
x1:h2o:32:0-15,64-79:16.603
x1:h2o:32:0-15,64-79:16.945
x1:h2o:32:0-15,64-79:16.398
x1:h2o:32:0-15,64-79:17.736
x1:h2o:32:0-15,64-79:17.771
x1:h2o:32:0-15,64-79:18.22
x1:h2o:32:0-15,64-79:16.449
x1:h2o:64:0-63:17.441
x1:h2o:64:0-63:15.44
x1:h2o:64:0-63:16.463
x1:h2o:64:0-63:16.409
x1:h2o:64:0-63:15.604
x1:h2o:64:0-63:16.458
x1:h2o:64:0-63:15.88
x1:h2o:64:0-63:16.082
x1:h2o:64:0-63:16.43
x1:h2o:64:0-63:14.851
x1:h2o:64:0-31,64-95:16.109
x1:h2o:64:0-31,64-95:16.273
x1:h2o:64:0-31,64-95:16.751
x1:h2o:64:0-31,64-95:15.349
x1:h2o:64:0-31,64-95:16.971
x1:h2o:64:0-31,64-95:16.682
x1:h2o:64:0-31,64-95:17.223
x1:h2o:64:0-31,64-95:15.898
x1:h2o:64:0-31,64-95:17.322
x1:h2o:64:0-31,64-95:16.226
x1:h2o:128:0-127:16.491
x1:h2o:128:0-127:17.299
x1:h2o:128:0-127:16.683
x1:h2o:128:0-127:18.289
x1:h2o:128:0-127:17.731
x1:h2o:128:0-127:18.712
x1:h2o:128:0-127:17.486
x1:h2o:128:0-127:18.613
x1:h2o:128:0-127:18.221
x1:h2o:128:0-127:15.749
x1:xgb:1:0:32.715
x1:xgb:1:0:32.443
x1:xgb:1:0:32.024
x1:xgb:1:0:31.982
x1:xgb:1:0:31.989
x1:xgb:1:0:32.366
x1:xgb:1:0:32.263
x1:xgb:1:0:32.649
x1:xgb:1:0:32.368
x1:xgb:1:0:32.133
x1:xgb:2:0-1:19.918
x1:xgb:2:0-1:20.365
x1:xgb:2:0-1:20.101
x1:xgb:2:0-1:20.154
x1:xgb:2:0-1:20.172
x1:xgb:2:0-1:20.041
x1:xgb:2:0-1:19.885
x1:xgb:2:0-1:20.573
x1:xgb:2:0-1:20.311
x1:xgb:2:0-1:20.664
x1:xgb:4:0-3:13.865
x1:xgb:4:0-3:13.876
x1:xgb:4:0-3:13.876
x1:xgb:4:0-3:13.86
x1:xgb:4:0-3:13.814
x1:xgb:4:0-3:13.856
x1:xgb:4:0-3:13.786
x1:xgb:4:0-3:13.804
x1:xgb:4:0-3:13.886
x1:xgb:4:0-3:13.898
x1:xgb:8:0-7:11.352
x1:xgb:8:0-7:11.088
x1:xgb:8:0-7:11.382
x1:xgb:8:0-7:11.473
x1:xgb:8:0-7:11.45
x1:xgb:8:0-7:11.442
x1:xgb:8:0-7:11
x1:xgb:8:0-7:10.501
x1:xgb:8:0-7:11.116
x1:xgb:8:0-7:11.471
x1:xgb:8:0-3,16-19:11.898
x1:xgb:8:0-3,16-19:12.335
x1:xgb:8:0-3,16-19:14.964
x1:xgb:8:0-3,16-19:13.069
